log_body_len,Contributors Expertise,n_labels,has_milestone,is_feature_label,title_len,created_dayofweek,created_hour,n_assignees,cat_bug,cat_feature,cat_improvement,comp_ui,comp_backend,comp_api,comp_network,comp_security,comp_database,comp_authentication,comp_performance,n_complexity_words,n_urgency_words,body_has_steps,n_negative_words,assignee_avg_duration,assignee_task_count,assignee_open_tasks,depaseste_sprint,Time_Taken_Days,Created At,Repository
0.0,7.9,0,0,0,24,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.47917824074074,43,8,0,5.795011574074074,2013-06-20 14:36:35+00:00,redis/redis
5.817111159963204,1.1,1,1,0,72,3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.95961135477583,19,0,0,11.434398148148148,2013-08-01 20:39:35+00:00,twbs/bootstrap
4.3694478524670215,3.4,2,0,0,12,5,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,0,0,1.9188310185185184,2013-08-10 20:24:55+00:00,twbs/bootstrap
6.091309882077698,1.1,2,1,0,59,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.95961135477583,19,1,0,5.495694444444444,2013-08-12 09:31:32+00:00,twbs/bootstrap
0.0,5.199999999999999,2,0,0,54,3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.92082272376543,12,1,0,0.010601851851851852,2013-08-15 19:18:23+00:00,twbs/bootstrap
5.568344503761097,1.1,2,0,0,34,3,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,30.93335069444445,20,1,0,2.0726157407407406,2013-08-15 21:11:30+00:00,twbs/bootstrap
6.045005314036012,3.4,2,0,0,54,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9188310185185184,1,0,0,0.2523611111111111,2013-08-22 13:27:09+00:00,twbs/bootstrap
6.354370040797351,5.199999999999999,2,1,0,54,3,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.40886243386243,14,0,0,0.21719907407407407,2013-08-22 23:14:42+00:00,twbs/bootstrap
5.783825182329737,5.199999999999999,4,1,0,67,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.92941820987654,15,0,1,46.42296296296296,2013-08-28 16:48:24+00:00,twbs/bootstrap
6.525029657843462,5.199999999999999,2,1,0,53,2,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.92941820987654,15,1,0,0.13847222222222222,2013-09-04 21:26:53+00:00,twbs/bootstrap
